country,hdi,life_expectancy,eyeduc,myeduc,gnipc
Kuwait,0.806,75.5,14.2,7.3,58590
Serbia,0.806,76,14.7,11.2,17192
Mauritius,0.804,75,15.1,9.5,25266
Seychelles,0.796,73.4,14.1,10,26903
Trinidad and Tobago,0.796,73.5,13,11,26231
Albania,0.795,78.6,14.7,10.1,13998
Cuba,0.783,78.8,14.3,11.8,8621
Iran (Islamic Republic of),0.783,76.7,14.8,10.3,12447
Sri Lanka,0.782,77,14.1,10.6,12707
Bosnia and Herzegovina,0.78,77.4,13.8,9.8,14872
Grenada,0.779,72.4,16.9,9,15641
Mexico,0.779,75.1,14.8,8.8,19160
Saint Kitts and Nevis,0.779,74.8,13.8,8.7,25038
Ukraine,0.779,72.1,15.1,11.4,13216
Antigua and Barbuda,0.778,77,12.8,9.3,20895
Peru,0.777,76.7,15,9.7,12252
Thailand,0.777,77.2,15,7.9,17781
Armenia,0.776,75.1,13.1,11.3,13894
North Macedonia,0.774,75.8,13.6,9.8,15865
Colombia,0.767,77.3,14.4,8.5,14257
Brazil,0.765,75.9,15.4,8,14263
China,0.761,76.9,14,8.1,16057
Ecuador,0.759,77,14.6,8.9,11044
Saint Lucia,0.759,76.2,14,8.5,14616
Azerbaijan,0.756,73,12.9,10.6,13784
Dominican Republic,0.756,74.1,14.2,8.1,17591
Moldova (Republic of),0.75,71.9,11.5,11.7,13664
Algeria,0.748,76.9,14.6,8,11174
Lebanon,0.744,78.9,11.3,8.7,14655
Fiji,0.743,67.4,14.4,10.9,13009
Dominica,0.742,78.2,13,8.1,11884
Maldives,0.74,78.9,12.2,7,17417
Tunisia,0.74,76.7,15.1,7.2,10414
Saint Vincent and the Grenadines,0.738,72.5,14.1,8.8,12378
Suriname,0.738,71.7,13.2,9.3,14324
Mongolia,0.737,69.9,14.2,10.3,10839
Botswana,0.735,69.6,12.8,9.6,16437
Jamaica,0.734,74.5,13.1,9.7,9319
Jordan,0.729,74.5,11.4,10.5,9858
Paraguay,0.728,74.3,12.7,8.5,12224
Tonga,0.725,70.9,14.4,11.2,6365
Libya,0.724,72.9,12.9,7.6,15688
Uzbekistan,0.72,71.7,12.1,11.8,7142
Bolivia (Plurinational State of),0.718,71.5,14.2,9,8554
Indonesia,0.718,71.7,13.6,8.2,11459
Philippines,0.718,71.2,13.1,9.4,9778
Belize,0.716,74.6,13.1,9.9,6382
Samoa,0.715,73.3,12.7,10.8,6309
Turkmenistan,0.715,68.2,11.2,10.3,14909
Venezuela (Bolivarian Republic of),0.711,72.1,12.8,10.3,7045
South Africa,0.709,64.1,13.8,10.2,12129
"Palestine, State of",0.708,74.1,13.4,9.2,6417
Egypt,0.707,72,13.3,7.4,11466
Marshall Islands,0.704,74.1,12.4,10.9,5039
Viet Nam,0.704,75.4,12.7,8.3,7433
Gabon,0.703,66.5,13,8.7,13930
Kyrgyzstan,0.697,71.5,13,11.1,4864
Morocco,0.686,76.7,13.7,5.6,7368
Guyana,0.682,69.9,11.4,8.5,9455
Iraq,0.674,70.6,11.3,7.3,10801
El Salvador,0.673,73.3,11.7,6.9,8359
Tajikistan,0.668,71.1,11.7,10.7,3954
Cabo Verde,0.665,73,12.7,6.3,7019
Guatemala,0.663,74.3,10.8,6.6,8494
Nicaragua,0.66,74.5,12.3,6.9,5284
Bhutan,0.654,71.8,13,4.1,10746
Namibia,0.646,63.7,12.6,7,9357
India,0.645,69.7,12.2,6.5,6681
Honduras,0.634,75.3,10.1,6.6,5308
Bangladesh,0.632,72.6,11.6,6.2,4976
Kiribati,0.63,68.4,11.8,8,4260
Sao Tome and Principe,0.625,70.4,12.7,6.4,3952
Micronesia (Federated States of),0.62,67.9,11.5,7.8,3983
Lao People's Democratic Republic,0.613,67.9,11,5.3,7413
Eswatini (Kingdom of),0.611,60.2,11.8,6.9,7919
Ghana,0.611,64.1,11.5,7.3,5269
Vanuatu,0.609,70.5,11.7,7.1,3105
Timor-Leste,0.606,69.5,12.6,4.8,4440
Nepal,0.602,70.8,12.8,5,3457
Kenya,0.601,66.7,11.3,6.6,4244
Cambodia,0.594,69.8,11.5,5,4246
Equatorial Guinea,0.592,58.7,9.7,5.9,13944
Zambia,0.584,63.9,11.5,7.2,3326
Myanmar,0.583,67.1,10.7,5,4961
Angola,0.581,61.2,11.8,5.2,6104
Congo,0.574,64.6,11.7,6.5,2879
Zimbabwe,0.571,61.5,11,8.5,2666
Solomon Islands,0.567,73,10.2,5.7,2253
Syrian Arab Republic,0.567,72.7,8.9,5.1,3613
Cameroon,0.563,59.3,12.1,6.3,3581
Pakistan,0.557,67.3,8.3,5.2,5005
Papua New Guinea,0.555,64.5,10.2,4.7,4301
Comoros,0.554,64.3,11.2,5.1,3099
Mauritania,0.546,64.9,8.6,4.7,5135
Benin,0.545,61.8,12.6,3.8,3254
Uganda,0.544,63.4,11.4,6.2,2123
Rwanda,0.543,69,11.2,4.4,2155
Nigeria,0.539,54.7,10,6.7,4910
Côte d'Ivoire,0.538,57.8,10,5.3,5069
Tanzania (United Republic of),0.529,65.5,8.1,6.1,2600
Madagascar,0.528,67,10.2,6.1,1596
Lesotho,0.527,54.3,11.3,6.5,3151
Djibouti,0.524,67.1,6.8,4.1,5689
Togo,0.515,61,12.7,4.9,1602
Senegal,0.512,67.9,8.6,3.2,3309
Afghanistan,0.511,64.8,10.2,3.9,2229
Haiti,0.51,64,9.7,5.6,1709
Sudan,0.51,65.3,7.9,3.8,3829
Gambia,0.496,62.1,9.9,3.9,2168
Ethiopia,0.485,66.6,8.8,2.9,2207
Malawi,0.483,64.3,11.2,4.7,1035
Congo (Democratic Republic of the),0.48,60.7,9.7,6.8,1063
Guinea-Bissau,0.48,58.3,10.6,3.6,1996
Liberia,0.48,64.1,9.6,4.8,1258
Guinea,0.477,61.6,9.4,2.8,2405
Yemen,0.47,66.1,8.8,3.2,1594
Eritrea,0.459,66.3,5,3.9,2793
Mozambique,0.456,60.9,10,3.5,1250
Burkina Faso,0.452,61.6,9.3,1.6,2133
Sierra Leone,0.452,54.7,10.2,3.7,1668
Mali,0.434,59.3,7.5,2.4,2269
Burundi,0.433,61.6,11.1,3.3,754
South Sudan,0.433,57.9,5.3,4.8,2003
Chad,0.398,54.2,7.3,2.5,1555
Central African Republic,0.397,53.3,7.6,4.3,993
Niger,0.394,62.4,6.5,2.1,1201
